"name","rank","position","location","commitCollege","year"
"TRENT PLAISTED","140","PF","San Antonio, TX Clark","Brigham Young","2004"
"BRIAN LAING","141","SG","Bronx, NY","Seton Hall","2004"
"MARCUS MONK","142","WR","Lepanto, AR East Poinsett County","Arkansas","2004"
"JIMMY BINNIE","143","SF","Johnston, IA Johnston","Dayton","2004"
"JAMARCUS ELLIS","144","SG","Marianna, FL Chipola J.C.","Indiana","2004"
"TAJ FINGER","145","SF","Bedford, NY Fox Lane","Stanford","2004"
"CHRIS LOFTON","146","PG","Maysville, KY Mason County","Tennessee","2004"
"DAVID PENDERGRAFT","147","SF","Brewster, WA Brewster","Gonzaga","2004"
"DEMARRE CARROLL","148","SF","Birmingham, AL John Carroll","Vanderbilt","2004"
"DUPREE FLETCHER","149","PG","Milwaukee, WI Rufus King","Evansville","2004"
"XAVIER PRICE","150","SG","O'Fallon, IL","Purdue","2004"
"GERALD GREEN","1","SG","Houston, TX Gulf Shores","Oklahoma State","2005"
"JOSH MCROBERTS","2","PF","Carmel, IN","Duke","2005"
"MONTA ELLIS","3","SG","Jackson, MS Lanier","Mississippi St","2005"
"ANDRAY BLATCHE","4","PF","Syracuse, NY","Undecided","2005"
"MARTELL WEBSTER","5","SG","Seattle, WA Seattle Prep","Washington","2005"
"ANDREW BYNUM","6","C","Metuchen, NJ St. Joseph's","Connecticut","2005"
"LOUIS WILLIAMS","7","SG","Snellville, GA South Gwinnett","Georgia","2005"
"JULIAN WRIGHT","8","SF","Flossmoor, IL Homewood Flossmoor","Kansas","2005"
"RICHARD HENDRIX","9","PF","Athens, AL Athens","Alabama","2005"
"TYLER HANSBROUGH","10","PF","Poplar Bluff, MO Poplar Bluff","North Carolina","2005"
"GREG PAULUS","11","PG","Manlius, NY Christian Brothers Academy","Duke","2005"
"MARIO CHALMERS","12","PG","Anchorage, AK Bartlett","Kansas","2005"
"BRANDON RUSH","13","SF","Kansas City, MO","Kansas","2005"
"KEITH BRUMBAUGH","14","PF","DeLand, FL Deland","Oklahoma State","2005"
"SHAWNE WILLIAMS","15","SG","Laurinburg, NC Laurinburg","Memphis","2005"
"JAMONT GORDON","16","SG","Nashville, TN","Mississippi St","2005"
